session_id,scenario,pc_time_s,esp_time_us,frame_id,activity,direction,people_count,participants,environment,target_slot,valid,x_mm,y_mm,speed_cm_s,resolution_mm
20260910_104011,WALK_1P_APPROACH,0.003,1887339,17,WALK,APPROACH,1,P03,LAB01,0,1,1690,5500,0,360
20260910_104011,WALK_1P_APPROACH,0.003,1887339,17,WALK,APPROACH,1,P03,LAB01,1,0,0,0,0,0
20260910_104011,WALK_1P_APPROACH,0.003,1887339,17,WALK,APPROACH,1,P03,LAB01,2,0,0,0,0,0
20260910_104011,WALK_1P_APPROACH,0.005,1976417,18,WALK,APPROACH,1,P03,LAB01,0,1,1695,5497,0,360
20260910_104011,WALK_1P_APPROACH,0.005,1976417,18,WALK,APPROACH,1,P03,LAB01,1,0,0,0,0,0
20260910_104011,WALK_1P_APPROACH,0.005,1976417,18,WALK,APPROACH,1,P03,LAB01,2,0,0,0,0,0
20260910_104011,WALK_1P_APPROACH,0.006,2065086,19,WALK,APPROACH,1,P03,LAB01,0,1,1701,5494,0,360
20260910_104011,WALK_1P_APPROACH,0.006,2065086,19,WALK,APPROACH,1,P03,LAB01,1,0,0,0,0,0
20260910_104011,WALK_1P_APPROACH,0.006,2065086,19,WALK,APPROACH,1,P03,LAB01,2,0,0,0,0,0
20260910_104011,WALK_1P_APPROACH,0.007,2154185,20,WALK,APPROACH,1,P03,LAB01,0,1,1700,5492,0,360
20260910_104011,WALK_1P_APPROACH,0.007,2154185,20,WALK,APPROACH,1,P03,LAB01,1,0,0,0,0,0
20260910_104011,WALK_1P_APPROACH,0.007,2154185,20,WALK,APPROACH,1,P03,LAB01,2,0,0,0,0,0
20260910_104011,WALK_1P_APPROACH,0.008,2243458,21,WALK,APPROACH,1,P03,LAB01,0,1,1685,5492,0,360
20260910_104011,WALK_1P_APPROACH,0.008,2243458,21,WALK,APPROACH,1,P03,LAB01,1,0,0,0,0,0
20260910_104011,WALK_1P_APPROACH,0.008,2243458,21,WALK,APPROACH,1,P03,LAB01,2,0,0,0,0,0
20260910_104011,WALK_1P_APPROACH,0.010,2332008,22,WALK,APPROACH,1,P03,LAB01,0,1,1667,5493,0,360
20260910_104011,WALK_1P_APPROACH,0.010,2332008,22,WALK,APPROACH,1,P03,LAB01,1,0,0,0,0,0
20260910_104011,WALK_1P_APPROACH,0.010,2332008,22,WALK,APPROACH,1,P03,LAB01,2,0,0,0,0,0
20260910_104011,WALK_1P_APPROACH,0.012,2421423,23,WALK,APPROACH,1,P03,LAB01,0,1,1614,5490,0,360
20260910_104011,WALK_1P_APPROACH,0.012,2421423,23,WALK,APPROACH,1,P03,LAB01,1,0,0,0,0,0
20260910_104011,WALK_1P_APPROACH,0.012,2421423,23,WALK,APPROACH,1,P03,LAB01,2,0,0,0,0,0
20260910_104011,WALK_1P_APPROACH,0.013,2510286,24,WALK,APPROACH,1,P03,LAB01,0,1,1614,5472,0,360
20260910_104011,WALK_1P_APPROACH,0.013,2510286,24,WALK,APPROACH,1,P03,LAB01,1,0,0,0,0,0
20260910_104011,WALK_1P_APPROACH,0.013,2510286,24,WALK,APPROACH,1,P03,LAB01,2,0,0,0,0,0
20260910_104011,WALK_1P_APPROACH,0.015,2599325,25,WALK,APPROACH,1,P03,LAB01,0,1,1627,5448,0,360
20260910_104011,WALK_1P_APPROACH,0.015,2599325,25,WALK,APPROACH,1,P03,LAB01,1,0,0,0,0,0
20260910_104011,WALK_1P_APPROACH,0.015,2599325,25,WALK,APPROACH,1,P03,LAB01,2,0,0,0,0,0
