session_id,scenario,pc_time_s,esp_time_us,frame_id,activity,direction,people_count,participants,environment,target_slot,valid,x_mm,y_mm,speed_cm_s,resolution_mm
20260910_104915,STILL_1P_NA,0.004,1870020,17,STILL,NA,1,P03,LAB01,0,1,2070,3453,-24,360
20260910_104915,STILL_1P_NA,0.004,1870020,17,STILL,NA,1,P03,LAB01,1,0,0,0,0,0
20260910_104915,STILL_1P_NA,0.004,1870020,17,STILL,NA,1,P03,LAB01,2,0,0,0,0,0
20260910_104915,STILL_1P_NA,0.007,1959255,18,STILL,NA,1,P03,LAB01,0,1,2063,3416,-16,360
20260910_104915,STILL_1P_NA,0.007,1959255,18,STILL,NA,1,P03,LAB01,1,0,0,0,0,0
20260910_104915,STILL_1P_NA,0.007,1959255,18,STILL,NA,1,P03,LAB01,2,0,0,0,0,0
20260910_104915,STILL_1P_NA,0.011,2048070,19,STILL,NA,1,P03,LAB01,0,1,2083,3350,-24,360
20260910_104915,STILL_1P_NA,0.011,2048070,19,STILL,NA,1,P03,LAB01,1,0,0,0,0,0
20260910_104915,STILL_1P_NA,0.011,2048070,19,STILL,NA,1,P03,LAB01,2,0,0,0,0,0
20260910_104915,STILL_1P_NA,0.015,2137254,20,STILL,NA,1,P03,LAB01,0,1,2091,3293,-32,360
20260910_104915,STILL_1P_NA,0.015,2137254,20,STILL,NA,1,P03,LAB01,1,0,0,0,0,0
20260910_104915,STILL_1P_NA,0.015,2137254,20,STILL,NA,1,P03,LAB01,2,0,0,0,0,0
20260910_104915,STILL_1P_NA,0.017,2225984,21,STILL,NA,1,P03,LAB01,0,1,2111,3253,-24,360
20260910_104915,STILL_1P_NA,0.017,2225984,21,STILL,NA,1,P03,LAB01,1,0,0,0,0,0
20260910_104915,STILL_1P_NA,0.017,2225984,21,STILL,NA,1,P03,LAB01,2,0,0,0,0,0
20260910_104915,STILL_1P_NA,0.018,2315113,22,STILL,NA,1,P03,LAB01,0,1,2110,3226,-39,360
