session_id,scenario,pc_time_s,esp_time_us,frame_id,activity,direction,people_count,participants,environment,target_slot,valid,x_mm,y_mm,speed_cm_s,resolution_mm
20260910_105710,WALK_1P_AWAY,0.003,1921507,17,WALK,AWAY,1,P02,LAB01,0,1,-424,407,-16,360
20260910_105710,WALK_1P_AWAY,0.003,1921507,17,WALK,AWAY,1,P02,LAB01,1,0,0,0,0,0
20260910_105710,WALK_1P_AWAY,0.003,1921507,17,WALK,AWAY,1,P02,LAB01,2,0,0,0,0,0
20260910_105710,WALK_1P_AWAY,0.005,2010521,18,WALK,AWAY,1,P02,LAB01,0,1,-340,401,-24,360
20260910_105710,WALK_1P_AWAY,0.005,2010521,18,WALK,AWAY,1,P02,LAB01,1,0,0,0,0,0
20260910_105710,WALK_1P_AWAY,0.005,2010521,18,WALK,AWAY,1,P02,LAB01,2,0,0,0,0,0
20260910_105710,WALK_1P_AWAY,0.008,2099376,19,WALK,AWAY,1,P02,LAB01,0,1,-197,378,-8,360
20260910_105710,WALK_1P_AWAY,0.008,2099376,19,WALK,AWAY,1,P02,LAB01,1,0,0,0,0,0
20260910_105710,WALK_1P_AWAY,0.008,2099376,19,WALK,AWAY,1,P02,LAB01,2,0,0,0,0,0
20260910_105710,WALK_1P_AWAY,0.010,2188555,20,WALK,AWAY,1,P02,LAB01,0,1,-67,353,-8,360
20260910_105710,WALK_1P_AWAY,0.010,2188555,20,WALK,AWAY,1,P02,LAB01,1,0,0,0,0,0
20260910_105710,WALK_1P_AWAY,0.010,2188555,20,WALK,AWAY,1,P02,LAB01,2,0,0,0,0,0
20260910_105710,WALK_1P_AWAY,0.013,2277340,21,WALK,AWAY,1,P02,LAB01,0,1,20,336,0,360
20260910_105710,WALK_1P_AWAY,0.013,2277340,21,WALK,AWAY,1,P02,LAB01,1,0,0,0,0,0
20260910_105710,WALK_1P_AWAY,0.013,2277340,21,WALK,AWAY,1,P02,LAB01,2,0,0,0,0,0
20260910_105710,WALK_1P_AWAY,0.015,2366703,22,WALK,AWAY,1,P02,LAB01,0,1,-35,348,-8,360
20260910_105710,WALK_1P_AWAY,0.015,2366703,22,WALK,AWAY,1,P02,LAB01,1,0,0,0,0,0
20260910_105710,WALK_1P_AWAY,0.015,2366703,22,WALK,AWAY,1,P02,LAB01,2,0,0,0,0,0
20260910_105710,WALK_1P_AWAY,0.016,2455243,23,WALK,AWAY,1,P02,LAB01,0,1,-74,357,-8,360
20260910_105710,WALK_1P_AWAY,0.016,2455243,23,WALK,AWAY,1,P02,LAB01,1,0,0,0,0,0
20260910_105710,WALK_1P_AWAY,0.016,2455243,23,WALK,AWAY,1,P02,LAB01,2,0,0,0,0,0
20260910_105710,WALK_1P_AWAY,0.017,2544323,24,WALK,AWAY,1,P02,LAB01,0,1,-100,373,0,360
20260910_105710,WALK_1P_AWAY,0.017,2544323,24,WALK,AWAY,1,P02,LAB01,1,0,0,0,0,0
20260910_105710,WALK_1P_AWAY,0.017,2544323,24,WALK,AWAY,1,P02,LAB01,2,0,0,0,0,0
20260910_105710,WALK_1P_AWAY,0.018,2633424,25,WALK,AWAY,1,P02,LAB01,0,1,-121,390,0,360
20260910_105710,WALK_1P_AWAY,0.018,2633424,25,WALK,AWAY,1,P02,LAB01,1,0,0,0,0,0
20260910_105710,WALK_1P_AWAY,0.018,2633424,25,WALK,AWAY,1,P02,LAB01,2,0,0,0,0,0
20260910_105710,WALK_1P_AWAY,0.020,2722346,26,WALK,AWAY,1,P02,LAB01,0,1,-140,406,0,360
20260910_105710,WALK_1P_AWAY,0.020,2722346,26,WALK,AWAY,1,P02,LAB01,1,0,0,0,0,0
20260910_105710,WALK_1P_AWAY,0.020,2722346,26,WALK,AWAY,1,P02,LAB01,2,0,0,0,0,0
20260910_105710,WALK_1P_AWAY,0.022,2811270,27,WALK,AWAY,1,P02,LAB01,0,1,-141,409,0,360
20260910_105710,WALK_1P_AWAY,0.022,2811270,27,WALK,AWAY,1,P02,LAB01,1,0,0,0,0,0
20260910_105710,WALK_1P_AWAY,0.022,2811270,27,WALK,AWAY,1,P02,LAB01,2,0,0,0,0,0
20260910_105710,WALK_1P_AWAY,0.022,2900313,28,WALK,AWAY,1,P02,LAB01,0,1,-147,409,0,360
20260910_105710,WALK_1P_AWAY,0.022,2900313,28,WALK,AWAY,1,P02,LAB01,1,0,0,0,0,0
20260910_105710,WALK_1P_AWAY,0.022,2900313,28,WALK,AWAY,1,P02,LAB01,2,0,0,0,0,0
