session_id,scenario,pc_time_s,esp_time_us,frame_id,activity,direction,people_count,participants,environment,target_slot,valid,x_mm,y_mm,speed_cm_s,resolution_mm
20260910_111649,FAST_1P_APPROACH,0.005,1936171,18,FAST,APPROACH,1,P03,LAB01,0,1,1661,6078,0,360
20260910_111649,FAST_1P_APPROACH,0.005,1936171,18,FAST,APPROACH,1,P03,LAB01,1,0,0,0,0,0
20260910_111649,FAST_1P_APPROACH,0.005,1936171,18,FAST,APPROACH,1,P03,LAB01,2,0,0,0,0,0
20260910_111649,FAST_1P_APPROACH,0.009,2024944,19,FAST,APPROACH,1,P03,LAB01,0,1,1570,6144,0,360
20260910_111649,FAST_1P_APPROACH,0.009,2024944,19,FAST,APPROACH,1,P03,LAB01,1,0,0,0,0,0
20260910_111649,FAST_1P_APPROACH,0.009,2024944,19,FAST,APPROACH,1,P03,LAB01,2,0,0,0,0,0
20260910_111649,FAST_1P_APPROACH,0.019,2114038,20,FAST,APPROACH,1,P03,LAB01,0,1,1498,6195,-8,360
20260910_111649,FAST_1P_APPROACH,0.019,2114038,20,FAST,APPROACH,1,P03,LAB01,1,0,0,0,0,0
20260910_111649,FAST_1P_APPROACH,0.019,2114038,20,FAST,APPROACH,1,P03,LAB01,2,0,0,0,0,0
20260910_111649,FAST_1P_APPROACH,0.024,2203204,21,FAST,APPROACH,1,P03,LAB01,0,1,1428,6242,-8,360
20260910_111649,FAST_1P_APPROACH,0.024,2203204,21,FAST,APPROACH,1,P03,LAB01,1,0,0,0,0,0
20260910_111649,FAST_1P_APPROACH,0.024,2203204,21,FAST,APPROACH,1,P03,LAB01,2,0,0,0,0,0
20260910_111649,FAST_1P_APPROACH,0.028,2292157,22,FAST,APPROACH,1,P03,LAB01,0,1,1480,6233,-8,360
20260910_111649,FAST_1P_APPROACH,0.028,2292157,22,FAST,APPROACH,1,P03,LAB01,1,0,0,0,0,0
20260910_111649,FAST_1P_APPROACH,0.028,2292157,22,FAST,APPROACH,1,P03,LAB01,2,0,0,0,0,0
20260910_111649,FAST_1P_APPROACH,0.031,2380775,23,FAST,APPROACH,1,P03,LAB01,0,1,1551,6213,-8,360
20260910_111649,FAST_1P_APPROACH,0.031,2380775,23,FAST,APPROACH,1,P03,LAB01,1,0,0,0,0,0
20260910_111649,FAST_1P_APPROACH,0.031,2380775,23,FAST,APPROACH,1,P03,LAB01,2,0,0,0,0,0
20260910_111649,FAST_1P_APPROACH,0.034,2470120,24,FAST,APPROACH,1,P03,LAB01,0,1,1604,6206,-8,360
20260910_111649,FAST_1P_APPROACH,0.034,2470120,24,FAST,APPROACH,1,P03,LAB01,1,0,0,0,0,0
20260910_111649,FAST_1P_APPROACH,0.034,2470120,24,FAST,APPROACH,1,P03,LAB01,2,0,0,0,0,0
20260910_111649,FAST_1P_APPROACH,0.039,2558992,25,FAST,APPROACH,1,P03,LAB01,0,1,1644,6192,0,360
20260910_111649,FAST_1P_APPROACH,0.039,2558992,25,FAST,APPROACH,1,P03,LAB01,1,0,0,0,0,0
20260910_111649,FAST_1P_APPROACH,0.039,2558992,25,FAST,APPROACH,1,P03,LAB01,2,0,0,0,0,0
20260910_111649,FAST_1P_APPROACH,0.043,2647816,26,FAST,APPROACH,1,P03,LAB01,0,1,1729,6160,0,360
20260910_111649,FAST_1P_APPROACH,0.043,2647816,26,FAST,APPROACH,1,P03,LAB01,1,0,0,0,0,0
20260910_111649,FAST_1P_APPROACH,0.043,2647816,26,FAST,APPROACH,1,P03,LAB01,2,0,0,0,0,0
20260910_111649,FAST_1P_APPROACH,0.048,2736858,27,FAST,APPROACH,1,P03,LAB01,0,1,1750,6140,8,360
20260910_111649,FAST_1P_APPROACH,0.048,2736858,27,FAST,APPROACH,1,P03,LAB01,1,0,0,0,0,0
20260910_111649,FAST_1P_APPROACH,0.048,2736858,27,FAST,APPROACH,1,P03,LAB01,2,0,0,0,0,0
20260910_111649,FAST_1P_APPROACH,0.051,2825870,28,FAST,APPROACH,1,P03,LAB01,0,1,1746,6147,8,360
20260910_111649,FAST_1P_APPROACH,0.051,2825870,28,FAST,APPROACH,1,P03,LAB01,1,0,0,0,0,0
20260910_111649,FAST_1P_APPROACH,0.051,2825870,28,FAST,APPROACH,1,P03,LAB01,2,0,0,0,0,0
20260910_111649,FAST_1P_APPROACH,0.054,2915011,29,FAST,APPROACH,1,P03,LAB01,0,1,1740,6153,8,360
20260910_111649,FAST_1P_APPROACH,0.054,2915011,29,FAST,APPROACH,1,P03,LAB01,1,0,0,0,0,0
20260910_111649,FAST_1P_APPROACH,0.054,2915011,29,FAST,APPROACH,1,P03,LAB01,2,0,0,0,0,0
20260910_111649,FAST_1P_APPROACH,0.058,3004050,30,FAST,APPROACH,1,P03,LAB01,0,1,1715,6177,16,360
20260910_111649,FAST_1P_APPROACH,0.058,3004050,30,FAST,APPROACH,1,P03,LAB01,1,0,0,0,0,0
20260910_111649,FAST_1P_APPROACH,0.058,3004050,30,FAST,APPROACH,1,P03,LAB01,2,0,0,0,0,0
20260910_111649,FAST_1P_APPROACH,0.060,3092914,31,FAST,APPROACH,1,P03,LAB01,0,1,1626,6268,16,360
20260910_111649,FAST_1P_APPROACH,0.060,3092914,31,FAST,APPROACH,1,P03,LAB01,1,0,0,0,0,0
20260910_111649,FAST_1P_APPROACH,0.060,3092914,31,FAST,APPROACH,1,P03,LAB01,2,0,0,0,0,0
20260910_111649,FAST_1P_APPROACH,0.064,3182023,32,FAST,APPROACH,1,P03,LAB01,0,1,1456,6440,16,360
20260910_111649,FAST_1P_APPROACH,0.064,3182023,32,FAST,APPROACH,1,P03,LAB01,1,0,0,0,0,0
20260910_111649,FAST_1P_APPROACH,0.064,3182023,32,FAST,APPROACH,1,P03,LAB01,2,0,0,0,0,0
20260910_111649,FAST_1P_APPROACH,0.067,3270914,33,FAST,APPROACH,1,P03,LAB01,0,1,1294,6602,16,360
20260910_111649,FAST_1P_APPROACH,0.067,3270914,33,FAST,APPROACH,1,P03,LAB01,1,0,0,0,0,0
20260910_111649,FAST_1P_APPROACH,0.067,3270914,33,FAST,APPROACH,1,P03,LAB01,2,0,0,0,0,0
20260910_111649,FAST_1P_APPROACH,0.071,3359546,34,FAST,APPROACH,1,P03,LAB01,0,1,1142,6721,0,360
20260910_111649,FAST_1P_APPROACH,0.071,3359546,34,FAST,APPROACH,1,P03,LAB01,1,0,0,0,0,0
