session_id,scenario,pc_time_s,esp_time_us,frame_id,activity,direction,people_count,participants,environment,target_slot,valid,x_mm,y_mm,speed_cm_s,resolution_mm
20260910_113749,FAST_1P_AWAY,0.002,1906601,17,FAST,AWAY,1,P03,LAB01,0,1,453,2766,-232,360
20260910_113749,FAST_1P_AWAY,0.002,1906601,17,FAST,AWAY,1,P03,LAB01,1,0,0,0,0,0
20260910_113749,FAST_1P_AWAY,0.002,1906601,17,FAST,AWAY,1,P03,LAB01,2,0,0,0,0,0
20260910_113749,FAST_1P_AWAY,0.003,1995613,18,FAST,AWAY,1,P03,LAB01,0,1,377,2551,-256,360
20260910_113749,FAST_1P_AWAY,0.003,1995613,18,FAST,AWAY,1,P03,LAB01,1,0,0,0,0,0
20260910_113749,FAST_1P_AWAY,0.003,1995613,18,FAST,AWAY,1,P03,LAB01,2,0,0,0,0,0
20260910_113749,FAST_1P_AWAY,0.004,2084873,19,FAST,AWAY,1,P03,LAB01,0,1,292,2342,-215,360
20260910_113749,FAST_1P_AWAY,0.004,2084873,19,FAST,AWAY,1,P03,LAB01,1,0,0,0,0,0
20260910_113749,FAST_1P_AWAY,0.004,2084873,19,FAST,AWAY,1,P03,LAB01,2,0,0,0,0,0
20260910_113749,FAST_1P_AWAY,0.005,2173762,20,FAST,AWAY,1,P03,LAB01,0,1,217,2125,248,360
20260910_113749,FAST_1P_AWAY,0.005,2173762,20,FAST,AWAY,1,P03,LAB01,1,0,0,0,0,0
20260910_113749,FAST_1P_AWAY,0.005,2173762,20,FAST,AWAY,1,P03,LAB01,2,0,0,0,0,0
20260910_113749,FAST_1P_AWAY,0.006,2262627,21,FAST,AWAY,1,P03,LAB01,0,1,148,1901,-168,360
20260910_113749,FAST_1P_AWAY,0.006,2262627,21,FAST,AWAY,1,P03,LAB01,1,0,0,0,0,0
20260910_113749,FAST_1P_AWAY,0.006,2262627,21,FAST,AWAY,1,P03,LAB01,2,0,0,0,0,0
20260910_113749,FAST_1P_AWAY,0.007,2351828,22,FAST,AWAY,1,P03,LAB01,0,1,63,1682,-159,360
20260910_113749,FAST_1P_AWAY,0.007,2351828,22,FAST,AWAY,1,P03,LAB01,1,0,0,0,0,0
20260910_113749,FAST_1P_AWAY,0.007,2351828,22,FAST,AWAY,1,P03,LAB01,2,0,0,0,0,0
20260910_113749,FAST_1P_AWAY,0.008,2441108,23,FAST,AWAY,1,P03,LAB01,0,1,-22,1464,-144,360
20260910_113749,FAST_1P_AWAY,0.008,2441108,23,FAST,AWAY,1,P03,LAB01,1,0,0,0,0,0
20260910_113749,FAST_1P_AWAY,0.008,2441108,23,FAST,AWAY,1,P03,LAB01,2,0,0,0,0,0
20260910_113749,FAST_1P_AWAY,0.009,2529818,24,FAST,AWAY,1,P03,LAB01,0,1,-97,1258,-88,360
20260910_113749,FAST_1P_AWAY,0.009,2529818,24,FAST,AWAY,1,P03,LAB01,1,0,0,0,0,0
20260910_113749,FAST_1P_AWAY,0.009,2529818,24,FAST,AWAY,1,P03,LAB01,2,0,0,0,0,0
20260910_113749,FAST_1P_AWAY,0.010,2618648,25,FAST,AWAY,1,P03,LAB01,0,1,-173,1095,-168,360
20260910_113749,FAST_1P_AWAY,0.010,2618648,25,FAST,AWAY,1,P03,LAB01,1,0,0,0,0,0
20260910_113749,FAST_1P_AWAY,0.010,2618648,25,FAST,AWAY,1,P03,LAB01,2,0,0,0,0,0
20260910_113749,FAST_1P_AWAY,0.010,2707973,26,FAST,AWAY,1,P03,LAB01,0,1,-248,949,-168,360
20260910_113749,FAST_1P_AWAY,0.010,2707973,26,FAST,AWAY,1,P03,LAB01,1,0,0,0,0,0
20260910_113749,FAST_1P_AWAY,0.010,2707973,26,FAST,AWAY,1,P03,LAB01,2,0,0,0,0,0
20260910_113749,FAST_1P_AWAY,0.011,2796613,27,FAST,AWAY,1,P03,LAB01,0,1,-319,821,-168,360
20260910_113749,FAST_1P_AWAY,0.011,2796613,27,FAST,AWAY,1,P03,LAB01,1,0,0,0,0,0
20260910_113749,FAST_1P_AWAY,0.011,2796613,27,FAST,AWAY,1,P03,LAB01,2,0,0,0,0,0
20260910_113749,FAST_1P_AWAY,0.012,2885525,28,FAST,AWAY,1,P03,LAB01,0,1,-385,732,104,360
20260910_113749,FAST_1P_AWAY,0.012,2885525,28,FAST,AWAY,1,P03,LAB01,1,0,0,0,0,0
20260910_113749,FAST_1P_AWAY,0.012,2885525,28,FAST,AWAY,1,P03,LAB01,2,0,0,0,0,0
20260910_113749,FAST_1P_AWAY,0.013,2974414,29,FAST,AWAY,1,P03,LAB01,0,1,-447,661,104,360
20260910_113749,FAST_1P_AWAY,0.013,2974414,29,FAST,AWAY,1,P03,LAB01,1,0,0,0,0,0
20260910_113749,FAST_1P_AWAY,0.013,2974414,29,FAST,AWAY,1,P03,LAB01,2,0,0,0,0,0
20260910_113749,FAST_1P_AWAY,0.014,3063366,30,FAST,AWAY,1,P03,LAB01,0,1,-502,605,104,360
20260910_113749,FAST_1P_AWAY,0.014,3063366,30,FAST,AWAY,1,P03,LAB01,1,0,0,0,0,0
20260910_113749,FAST_1P_AWAY,0.014,3063366,30,FAST,AWAY,1,P03,LAB01,2,0,0,0,0,0
20260910_113749,FAST_1P_AWAY,0.015,3152504,31,FAST,AWAY,1,P03,LAB01,0,1,-527,558,-8,360
20260910_113749,FAST_1P_AWAY,0.015,3152504,31,FAST,AWAY,1,P03,LAB01,1,0,0,0,0,0
20260910_113749,FAST_1P_AWAY,0.015,3152504,31,FAST,AWAY,1,P03,LAB01,2,0,0,0,0,0
20260910_113749,FAST_1P_AWAY,0.016,3241491,32,FAST,AWAY,1,P03,LAB01,0,1,-559,551,-24,360
20260910_113749,FAST_1P_AWAY,0.016,3241491,32,FAST,AWAY,1,P03,LAB01,1,0,0,0,0,0
20260910_113749,FAST_1P_AWAY,0.016,3241491,32,FAST,AWAY,1,P03,LAB01,2,0,0,0,0,0
20260910_113749,FAST_1P_AWAY,0.016,3330470,33,FAST,AWAY,1,P03,LAB01,0,1,-586,555,-24,360
20260910_113749,FAST_1P_AWAY,0.016,3330470,33,FAST,AWAY,1,P03,LAB01,1,0,0,0,0,0
20260910_113749,FAST_1P_AWAY,0.016,3330470,33,FAST,AWAY,1,P03,LAB01,2,0,0,0,0,0
20260910_113749,FAST_1P_AWAY,0.017,3419387,34,FAST,AWAY,1,P03,LAB01,0,1,-590,591,48,360
20260910_113749,FAST_1P_AWAY,0.017,3419387,34,FAST,AWAY,1,P03,LAB01,1,0,0,0,0,0
20260910_113749,FAST_1P_AWAY,0.017,3419387,34,FAST,AWAY,1,P03,LAB01,2,0,0,0,0,0
20260910_113749,FAST_1P_AWAY,0.017,3508498,35,FAST,AWAY,1,P03,LAB01,0,1,-569,643,39,360
20260910_113749,FAST_1P_AWAY,0.017,3508498,35,FAST,AWAY,1,P03,LAB01,1,0,0,0,0,0
20260910_113749,FAST_1P_AWAY,0.017,3508498,35,FAST,AWAY,1,P03,LAB01,2,0,0,0,0,0
20260910_113749,FAST_1P_AWAY,0.018,3597541,36,FAST,AWAY,1,P03,LAB01,0,1,-542,705,39,360
20260910_113749,FAST_1P_AWAY,0.018,3597541,36,FAST,AWAY,1,P03,LAB01,1,0,0,0,0,0
20260910_113749,FAST_1P_AWAY,0.018,3597541,36,FAST,AWAY,1,P03,LAB01,2,0,0,0,0,0
20260910_113749,FAST_1P_AWAY,0.019,3686463,37,FAST,AWAY,1,P03,LAB01,0,1,-517,761,39,360
20260910_113749,FAST_1P_AWAY,0.019,3686463,37,FAST,AWAY,1,P03,LAB01,1,0,0,0,0,0
20260910_113749,FAST_1P_AWAY,0.019,3686463,37,FAST,AWAY,1,P03,LAB01,2,0,0,0,0,0
20260910_113749,FAST_1P_AWAY,0.020,3775443,38,FAST,AWAY,1,P03,LAB01,0,1,-495,811,39,360
20260910_113749,FAST_1P_AWAY,0.020,3775443,38,FAST,AWAY,1,P03,LAB01,1,0,0,0,0,0
20260910_113749,FAST_1P_AWAY,0.020,3775443,38,FAST,AWAY,1,P03,LAB01,2,0,0,0,0,0
20260910_113749,FAST_1P_AWAY,0.020,3864428,39,FAST,AWAY,1,P03,LAB01,0,1,-475,856,39,360
20260910_113749,FAST_1P_AWAY,0.020,3864428,39,FAST,AWAY,1,P03,LAB01,1,0,0,0,0,0
20260910_113749,FAST_1P_AWAY,0.020,3864428,39,FAST,AWAY,1,P03,LAB01,2,0,0,0,0,0
20260910_113749,FAST_1P_AWAY,0.021,3953504,40,FAST,AWAY,1,P03,LAB01,0,1,-457,897,39,360
20260910_113749,FAST_1P_AWAY,0.021,3953504,40,FAST,AWAY,1,P03,LAB01,1,0,0,0,0,0
