session_id,scenario,pc_time_s,esp_time_us,frame_id,activity,direction,people_count,participants,environment,target_slot,valid,x_mm,y_mm,speed_cm_s,resolution_mm
20260910_100810,STILL_1P_NA1,0.001,1928683,17,STILL,NA1,1,P01,LAB01,0,1,-981,2166,0,360
20260910_100810,STILL_1P_NA1,0.001,1928683,17,STILL,NA1,1,P01,LAB01,1,0,0,0,0,0
20260910_100810,STILL_1P_NA1,0.001,1928683,17,STILL,NA1,1,P01,LAB01,2,0,0,0,0,0
20260910_100810,STILL_1P_NA1,0.002,2017795,18,STILL,NA1,1,P01,LAB01,0,1,-980,2169,0,360
20260910_100810,STILL_1P_NA1,0.002,2017795,18,STILL,NA1,1,P01,LAB01,1,0,0,0,0,0
20260910_100810,STILL_1P_NA1,0.002,2017795,18,STILL,NA1,1,P01,LAB01,2,0,0,0,0,0
20260910_100810,STILL_1P_NA1,0.003,2106683,19,STILL,NA1,1,P01,LAB01,0,1,-979,2172,0,360
20260910_100810,STILL_1P_NA1,0.003,2106683,19,STILL,NA1,1,P01,LAB01,1,0,0,0,0,0
20260910_100810,STILL_1P_NA1,0.003,2106683,19,STILL,NA1,1,P01,LAB01,2,0,0,0,0,0
20260910_100810,STILL_1P_NA1,0.004,2195664,20,STILL,NA1,1,P01,LAB01,0,1,-978,2174,0,360
20260910_100810,STILL_1P_NA1,0.004,2195664,20,STILL,NA1,1,P01,LAB01,1,0,0,0,0,0
20260910_100810,STILL_1P_NA1,0.004,2195664,20,STILL,NA1,1,P01,LAB01,2,0,0,0,0,0
20260910_100810,STILL_1P_NA1,0.005,2284644,21,STILL,NA1,1,P01,LAB01,0,1,-978,2178,0,360
20260910_100810,STILL_1P_NA1,0.005,2284644,21,STILL,NA1,1,P01,LAB01,1,0,0,0,0,0
20260910_100810,STILL_1P_NA1,0.005,2284644,21,STILL,NA1,1,P01,LAB01,2,0,0,0,0,0
20260910_100810,STILL_1P_NA1,0.006,2373694,22,STILL,NA1,1,P01,LAB01,0,1,-978,2183,0,360
20260910_100810,STILL_1P_NA1,0.006,2373694,22,STILL,NA1,1,P01,LAB01,1,0,0,0,0,0
