session_id,scenario,pc_time_s,esp_time_us,frame_id,activity,direction,people_count,participants,environment,target_slot,valid,x_mm,y_mm,speed_cm_s,resolution_mm
20260910_103326,WALK_1P_APPROACH,0.005,1856775,17,WALK,APPROACH,1,P01,LAB01,0,1,-923,5914,8,360
20260910_103326,WALK_1P_APPROACH,0.005,1856775,17,WALK,APPROACH,1,P01,LAB01,1,0,0,0,0,0
20260910_103326,WALK_1P_APPROACH,0.005,1856775,17,WALK,APPROACH,1,P01,LAB01,2,0,0,0,0,0
20260910_103326,WALK_1P_APPROACH,0.008,1945728,18,WALK,APPROACH,1,P01,LAB01,0,1,-940,5920,24,360
20260910_103326,WALK_1P_APPROACH,0.008,1945728,18,WALK,APPROACH,1,P01,LAB01,1,0,0,0,0,0
20260910_103326,WALK_1P_APPROACH,0.008,1945728,18,WALK,APPROACH,1,P01,LAB01,2,0,0,0,0,0
20260910_103326,WALK_1P_APPROACH,0.011,2034679,19,WALK,APPROACH,1,P01,LAB01,0,1,-954,5925,16,360
20260910_103326,WALK_1P_APPROACH,0.011,2034679,19,WALK,APPROACH,1,P01,LAB01,1,0,0,0,0,0
20260910_103326,WALK_1P_APPROACH,0.011,2034679,19,WALK,APPROACH,1,P01,LAB01,2,0,0,0,0,0
20260910_103326,WALK_1P_APPROACH,0.014,2123604,20,WALK,APPROACH,1,P01,LAB01,0,1,-978,5930,32,360
20260910_103326,WALK_1P_APPROACH,0.014,2123604,20,WALK,APPROACH,1,P01,LAB01,1,0,0,0,0,0
20260910_103326,WALK_1P_APPROACH,0.014,2123604,20,WALK,APPROACH,1,P01,LAB01,2,0,0,0,0,0
20260910_103326,WALK_1P_APPROACH,0.016,2212580,21,WALK,APPROACH,1,P01,LAB01,0,1,-1005,5934,32,360
20260910_103326,WALK_1P_APPROACH,0.016,2212580,21,WALK,APPROACH,1,P01,LAB01,1,0,0,0,0,0
20260910_103326,WALK_1P_APPROACH,0.016,2212580,21,WALK,APPROACH,1,P01,LAB01,2,0,0,0,0,0
20260910_103326,WALK_1P_APPROACH,0.019,2301817,22,WALK,APPROACH,1,P01,LAB01,0,1,-1024,5938,32,360
20260910_103326,WALK_1P_APPROACH,0.019,2301817,22,WALK,APPROACH,1,P01,LAB01,1,0,0,0,0,0
20260910_103326,WALK_1P_APPROACH,0.019,2301817,22,WALK,APPROACH,1,P01,LAB01,2,0,0,0,0,0
20260910_103326,WALK_1P_APPROACH,0.022,2390607,23,WALK,APPROACH,1,P01,LAB01,0,1,-1034,5941,8,360
20260910_103326,WALK_1P_APPROACH,0.022,2390607,23,WALK,APPROACH,1,P01,LAB01,1,0,0,0,0,0
20260910_103326,WALK_1P_APPROACH,0.022,2390607,23,WALK,APPROACH,1,P01,LAB01,2,0,0,0,0,0
20260910_103326,WALK_1P_APPROACH,0.026,2479870,24,WALK,APPROACH,1,P01,LAB01,0,1,-1036,5937,16,360
20260910_103326,WALK_1P_APPROACH,0.026,2479870,24,WALK,APPROACH,1,P01,LAB01,1,0,0,0,0,0
20260910_103326,WALK_1P_APPROACH,0.026,2479870,24,WALK,APPROACH,1,P01,LAB01,2,0,0,0,0,0
20260910_103326,WALK_1P_APPROACH,0.030,2568575,25,WALK,APPROACH,1,P01,LAB01,0,1,-1033,5932,16,360
20260910_103326,WALK_1P_APPROACH,0.030,2568575,25,WALK,APPROACH,1,P01,LAB01,1,0,0,0,0,0
20260910_103326,WALK_1P_APPROACH,0.030,2568575,25,WALK,APPROACH,1,P01,LAB01,2,0,0,0,0,0
20260910_103326,WALK_1P_APPROACH,0.034,2657652,26,WALK,APPROACH,1,P01,LAB01,0,1,-1033,5934,24,360
20260910_103326,WALK_1P_APPROACH,0.034,2657652,26,WALK,APPROACH,1,P01,LAB01,1,0,0,0,0,0
20260910_103326,WALK_1P_APPROACH,0.034,2657652,26,WALK,APPROACH,1,P01,LAB01,2,0,0,0,0,0
20260910_103326,WALK_1P_APPROACH,0.035,2746631,27,WALK,APPROACH,1,P01,LAB01,0,1,-1037,5935,-8,360
20260910_103326,WALK_1P_APPROACH,0.035,2746631,27,WALK,APPROACH,1,P01,LAB01,1,0,0,0,0,0
20260910_103326,WALK_1P_APPROACH,0.035,2746631,27,WALK,APPROACH,1,P01,LAB01,2,0,0,0,0,0
20260910_103326,WALK_1P_APPROACH,0.036,2835708,28,WALK,APPROACH,1,P01,LAB01,0,1,-1046,5938,-8,360
20260910_103326,WALK_1P_APPROACH,0.036,2835708,28,WALK,APPROACH,1,P01,LAB01,1,0,0,0,0,0
20260910_103326,WALK_1P_APPROACH,0.036,2835708,28,WALK,APPROACH,1,P01,LAB01,2,0,0,0,0,0
20260910_103326,WALK_1P_APPROACH,0.037,2924631,29,WALK,APPROACH,1,P01,LAB01,0,1,-1051,5941,-16,360
20260910_103326,WALK_1P_APPROACH,0.037,2924631,29,WALK,APPROACH,1,P01,LAB01,1,0,0,0,0,0
20260910_103326,WALK_1P_APPROACH,0.037,2924631,29,WALK,APPROACH,1,P01,LAB01,2,0,0,0,0,0
20260910_103326,WALK_1P_APPROACH,0.038,3013580,30,WALK,APPROACH,1,P01,LAB01,0,1,-1057,5941,-16,360
20260910_103326,WALK_1P_APPROACH,0.038,3013580,30,WALK,APPROACH,1,P01,LAB01,1,0,0,0,0,0
20260910_103326,WALK_1P_APPROACH,0.038,3013580,30,WALK,APPROACH,1,P01,LAB01,2,0,0,0,0,0
20260910_103326,WALK_1P_APPROACH,0.039,3102404,31,WALK,APPROACH,1,P01,LAB01,0,1,-1069,5940,-24,360
20260910_103326,WALK_1P_APPROACH,0.039,3102404,31,WALK,APPROACH,1,P01,LAB01,1,0,0,0,0,0
20260910_103326,WALK_1P_APPROACH,0.039,3102404,31,WALK,APPROACH,1,P01,LAB01,2,0,0,0,0,0
20260910_103326,WALK_1P_APPROACH,0.040,3191635,32,WALK,APPROACH,1,P01,LAB01,0,1,-1082,5940,-24,360
20260910_103326,WALK_1P_APPROACH,0.040,3191635,32,WALK,APPROACH,1,P01,LAB01,1,0,0,0,0,0
20260910_103326,WALK_1P_APPROACH,0.040,3191635,32,WALK,APPROACH,1,P01,LAB01,2,0,0,0,0,0
20260910_103326,WALK_1P_APPROACH,0.041,3280590,33,WALK,APPROACH,1,P01,LAB01,0,1,-1089,5939,8,360
20260910_103326,WALK_1P_APPROACH,0.041,3280590,33,WALK,APPROACH,1,P01,LAB01,1,0,0,0,0,0
20260910_103326,WALK_1P_APPROACH,0.041,3280590,33,WALK,APPROACH,1,P01,LAB01,2,0,0,0,0,0
20260910_103326,WALK_1P_APPROACH,0.042,3369635,34,WALK,APPROACH,1,P01,LAB01,0,1,-1090,5938,8,360
20260910_103326,WALK_1P_APPROACH,0.042,3369635,34,WALK,APPROACH,1,P01,LAB01,1,0,0,0,0,0
20260910_103326,WALK_1P_APPROACH,0.042,3369635,34,WALK,APPROACH,1,P01,LAB01,2,0,0,0,0,0
20260910_103326,WALK_1P_APPROACH,0.042,3458361,35,WALK,APPROACH,1,P01,LAB01,0,1,-1078,5939,-8,360
20260910_103326,WALK_1P_APPROACH,0.042,3458361,35,WALK,APPROACH,1,P01,LAB01,1,0,0,0,0,0
20260910_103326,WALK_1P_APPROACH,0.042,3458361,35,WALK,APPROACH,1,P01,LAB01,2,0,0,0,0,0
20260910_103326,WALK_1P_APPROACH,0.043,3547631,36,WALK,APPROACH,1,P01,LAB01,0,1,-1055,5939,0,360
20260910_103326,WALK_1P_APPROACH,0.043,3547631,36,WALK,APPROACH,1,P01,LAB01,1,0,0,0,0,0
20260910_103326,WALK_1P_APPROACH,0.043,3547631,36,WALK,APPROACH,1,P01,LAB01,2,0,0,0,0,0
20260910_103326,WALK_1P_APPROACH,0.044,3636452,37,WALK,APPROACH,1,P01,LAB01,0,1,-991,5947,16,360
20260910_103326,WALK_1P_APPROACH,0.044,3636452,37,WALK,APPROACH,1,P01,LAB01,1,0,0,0,0,0
20260910_103326,WALK_1P_APPROACH,0.044,3636452,37,WALK,APPROACH,1,P01,LAB01,2,0,0,0,0,0
20260910_103326,WALK_1P_APPROACH,0.045,3725781,38,WALK,APPROACH,1,P01,LAB01,0,1,-915,5949,0,360
20260910_103326,WALK_1P_APPROACH,0.045,3725781,38,WALK,APPROACH,1,P01,LAB01,1,0,0,0,0,0
20260910_103326,WALK_1P_APPROACH,0.045,3725781,38,WALK,APPROACH,1,P01,LAB01,2,0,0,0,0,0
20260910_103326,WALK_1P_APPROACH,0.046,3814635,39,WALK,APPROACH,1,P01,LAB01,0,1,-759,5951,0,360
20260910_103326,WALK_1P_APPROACH,0.046,3814635,39,WALK,APPROACH,1,P01,LAB01,1,0,0,0,0,0
20260910_103326,WALK_1P_APPROACH,0.046,3814635,39,WALK,APPROACH,1,P01,LAB01,2,0,0,0,0,0
20260910_103326,WALK_1P_APPROACH,0.047,3903684,40,WALK,APPROACH,1,P01,LAB01,0,1,-614,5953,0,360
20260910_103326,WALK_1P_APPROACH,0.047,3903684,40,WALK,APPROACH,1,P01,LAB01,1,0,0,0,0,0
20260910_103326,WALK_1P_APPROACH,0.047,3903684,40,WALK,APPROACH,1,P01,LAB01,2,0,0,0,0,0
20260910_103326,WALK_1P_APPROACH,0.048,3992536,41,WALK,APPROACH,1,P01,LAB01,0,1,-501,5955,8,360
20260910_103326,WALK_1P_APPROACH,0.048,3992536,41,WALK,APPROACH,1,P01,LAB01,1,0,0,0,0,0
20260910_103326,WALK_1P_APPROACH,0.048,3992536,41,WALK,APPROACH,1,P01,LAB01,2,0,0,0,0,0
20260910_103326,WALK_1P_APPROACH,0.049,4081367,42,WALK,APPROACH,1,P01,LAB01,0,1,-492,5961,-24,360
20260910_103326,WALK_1P_APPROACH,0.049,4081367,42,WALK,APPROACH,1,P01,LAB01,1,0,0,0,0,0
20260910_103326,WALK_1P_APPROACH,0.049,4081367,42,WALK,APPROACH,1,P01,LAB01,2,0,0,0,0,0
20260910_103326,WALK_1P_APPROACH,0.049,4170438,43,WALK,APPROACH,1,P01,LAB01,0,1,-500,5964,-24,360
20260910_103326,WALK_1P_APPROACH,0.049,4170438,43,WALK,APPROACH,1,P01,LAB01,1,0,0,0,0,0
20260910_103326,WALK_1P_APPROACH,0.049,4170438,43,WALK,APPROACH,1,P01,LAB01,2,0,0,0,0,0
20260910_103326,WALK_1P_APPROACH,0.050,4259514,44,WALK,APPROACH,1,P01,LAB01,0,1,-507,5966,-24,360
20260910_103326,WALK_1P_APPROACH,0.050,4259514,44,WALK,APPROACH,1,P01,LAB01,1,0,0,0,0,0
20260910_103326,WALK_1P_APPROACH,0.050,4259514,44,WALK,APPROACH,1,P01,LAB01,2,0,0,0,0,0
20260910_103326,WALK_1P_APPROACH,0.051,4348466,45,WALK,APPROACH,1,P01,LAB01,0,1,-521,5986,-32,360
20260910_103326,WALK_1P_APPROACH,0.051,4348466,45,WALK,APPROACH,1,P01,LAB01,1,0,0,0,0,0
