session_id,scenario,pc_time_s,esp_time_us,frame_id,activity,direction,people_count,participants,environment,target_slot,valid,x_mm,y_mm,speed_cm_s,resolution_mm
20260910_103523,WALK_1P_AWAY,0.004,1877051,17,WALK,AWAY,1,P01,LAB01,0,1,-538,921,8,360
20260910_103523,WALK_1P_AWAY,0.004,1877051,17,WALK,AWAY,1,P01,LAB01,1,0,0,0,0,0
20260910_103523,WALK_1P_AWAY,0.004,1877051,17,WALK,AWAY,1,P01,LAB01,2,0,0,0,0,0
20260910_103523,WALK_1P_AWAY,0.008,1965725,18,WALK,AWAY,1,P01,LAB01,0,1,-483,934,8,360
20260910_103523,WALK_1P_AWAY,0.008,1965725,18,WALK,AWAY,1,P01,LAB01,1,0,0,0,0,0
20260910_103523,WALK_1P_AWAY,0.008,1965725,18,WALK,AWAY,1,P01,LAB01,2,0,0,0,0,0
20260910_103523,WALK_1P_AWAY,0.010,2055164,19,WALK,AWAY,1,P01,LAB01,0,1,-419,950,8,360
20260910_103523,WALK_1P_AWAY,0.010,2055164,19,WALK,AWAY,1,P01,LAB01,1,0,0,0,0,0
20260910_103523,WALK_1P_AWAY,0.010,2055164,19,WALK,AWAY,1,P01,LAB01,2,0,0,0,0,0
20260910_103523,WALK_1P_AWAY,0.011,2143974,20,WALK,AWAY,1,P01,LAB01,0,1,-348,963,8,360
20260910_103523,WALK_1P_AWAY,0.011,2143974,20,WALK,AWAY,1,P01,LAB01,1,0,0,0,0,0
20260910_103523,WALK_1P_AWAY,0.011,2143974,20,WALK,AWAY,1,P01,LAB01,2,0,0,0,0,0
20260910_103523,WALK_1P_AWAY,0.013,2232764,21,WALK,AWAY,1,P01,LAB01,0,1,-294,973,8,360
20260910_103523,WALK_1P_AWAY,0.013,2232764,21,WALK,AWAY,1,P01,LAB01,1,0,0,0,0,0
20260910_103523,WALK_1P_AWAY,0.013,2232764,21,WALK,AWAY,1,P01,LAB01,2,0,0,0,0,0
20260910_103523,WALK_1P_AWAY,0.014,2321841,22,WALK,AWAY,1,P01,LAB01,0,1,-303,981,8,360
20260910_103523,WALK_1P_AWAY,0.014,2321841,22,WALK,AWAY,1,P01,LAB01,1,0,0,0,0,0
20260910_103523,WALK_1P_AWAY,0.014,2321841,22,WALK,AWAY,1,P01,LAB01,2,0,0,0,0,0
20260910_103523,WALK_1P_AWAY,0.016,2411032,23,WALK,AWAY,1,P01,LAB01,0,1,-311,984,8,360
20260910_103523,WALK_1P_AWAY,0.016,2411032,23,WALK,AWAY,1,P01,LAB01,1,0,0,0,0,0
20260910_103523,WALK_1P_AWAY,0.016,2411032,23,WALK,AWAY,1,P01,LAB01,2,0,0,0,0,0
20260910_103523,WALK_1P_AWAY,0.017,2499835,24,WALK,AWAY,1,P01,LAB01,0,1,-317,984,0,360
20260910_103523,WALK_1P_AWAY,0.017,2499835,24,WALK,AWAY,1,P01,LAB01,1,0,0,0,0,0
20260910_103523,WALK_1P_AWAY,0.017,2499835,24,WALK,AWAY,1,P01,LAB01,2,0,0,0,0,0
20260910_103523,WALK_1P_AWAY,0.020,2588912,25,WALK,AWAY,1,P01,LAB01,0,1,-323,981,-8,360
20260910_103523,WALK_1P_AWAY,0.020,2588912,25,WALK,AWAY,1,P01,LAB01,1,0,0,0,0,0
20260910_103523,WALK_1P_AWAY,0.020,2588912,25,WALK,AWAY,1,P01,LAB01,2,0,0,0,0,0
20260910_103523,WALK_1P_AWAY,0.023,2678042,26,WALK,AWAY,1,P01,LAB01,0,1,-325,979,-8,360
20260910_103523,WALK_1P_AWAY,0.023,2678042,26,WALK,AWAY,1,P01,LAB01,1,0,0,0,0,0
20260910_103523,WALK_1P_AWAY,0.023,2678042,26,WALK,AWAY,1,P01,LAB01,2,0,0,0,0,0
20260910_103523,WALK_1P_AWAY,0.024,2767119,27,WALK,AWAY,1,P01,LAB01,0,1,-330,974,-16,360
20260910_103523,WALK_1P_AWAY,0.024,2767119,27,WALK,AWAY,1,P01,LAB01,1,0,0,0,0,0
20260910_103523,WALK_1P_AWAY,0.024,2767119,27,WALK,AWAY,1,P01,LAB01,2,0,0,0,0,0
20260910_103523,WALK_1P_AWAY,0.024,2855986,28,WALK,AWAY,1,P01,LAB01,0,1,-348,968,-24,360
20260910_103523,WALK_1P_AWAY,0.024,2855986,28,WALK,AWAY,1,P01,LAB01,1,0,0,0,0,0
20260910_103523,WALK_1P_AWAY,0.024,2855986,28,WALK,AWAY,1,P01,LAB01,2,0,0,0,0,0
20260910_103523,WALK_1P_AWAY,0.025,2944901,29,WALK,AWAY,1,P01,LAB01,0,1,-367,961,-32,360
20260910_103523,WALK_1P_AWAY,0.025,2944901,29,WALK,AWAY,1,P01,LAB01,1,0,0,0,0,0
20260910_103523,WALK_1P_AWAY,0.025,2944901,29,WALK,AWAY,1,P01,LAB01,2,0,0,0,0,0
20260910_103523,WALK_1P_AWAY,0.026,3033856,30,WALK,AWAY,1,P01,LAB01,0,1,-386,952,-32,360
20260910_103523,WALK_1P_AWAY,0.026,3033856,30,WALK,AWAY,1,P01,LAB01,1,0,0,0,0,0
20260910_103523,WALK_1P_AWAY,0.026,3033856,30,WALK,AWAY,1,P01,LAB01,2,0,0,0,0,0
20260910_103523,WALK_1P_AWAY,0.028,3123174,31,WALK,AWAY,1,P01,LAB01,0,1,-400,927,-32,360
20260910_103523,WALK_1P_AWAY,0.028,3123174,31,WALK,AWAY,1,P01,LAB01,1,0,0,0,0,0
20260910_103523,WALK_1P_AWAY,0.028,3123174,31,WALK,AWAY,1,P01,LAB01,2,0,0,0,0,0
20260910_103523,WALK_1P_AWAY,0.029,3212006,32,WALK,AWAY,1,P01,LAB01,0,1,-389,905,-24,360
20260910_103523,WALK_1P_AWAY,0.029,3212006,32,WALK,AWAY,1,P01,LAB01,1,0,0,0,0,0
20260910_103523,WALK_1P_AWAY,0.029,3212006,32,WALK,AWAY,1,P01,LAB01,2,0,0,0,0,0
20260910_103523,WALK_1P_AWAY,0.029,3301109,33,WALK,AWAY,1,P01,LAB01,0,1,-341,890,-24,360
20260910_103523,WALK_1P_AWAY,0.029,3301109,33,WALK,AWAY,1,P01,LAB01,1,0,0,0,0,0
20260910_103523,WALK_1P_AWAY,0.029,3301109,33,WALK,AWAY,1,P01,LAB01,2,0,0,0,0,0
20260910_103523,WALK_1P_AWAY,0.030,3389911,34,WALK,AWAY,1,P01,LAB01,0,1,-269,871,-48,360
20260910_103523,WALK_1P_AWAY,0.030,3389911,34,WALK,AWAY,1,P01,LAB01,1,0,0,0,0,0
20260910_103523,WALK_1P_AWAY,0.030,3389911,34,WALK,AWAY,1,P01,LAB01,2,0,0,0,0,0
20260910_103523,WALK_1P_AWAY,0.031,3479201,35,WALK,AWAY,1,P01,LAB01,0,1,-258,857,-48,360
20260910_103523,WALK_1P_AWAY,0.031,3479201,35,WALK,AWAY,1,P01,LAB01,1,0,0,0,0,0
20260910_103523,WALK_1P_AWAY,0.031,3479201,35,WALK,AWAY,1,P01,LAB01,2,0,0,0,0,0
20260910_103523,WALK_1P_AWAY,0.031,3568030,36,WALK,AWAY,1,P01,LAB01,0,1,-255,839,-39,360
20260910_103523,WALK_1P_AWAY,0.031,3568030,36,WALK,AWAY,1,P01,LAB01,1,0,0,0,0,0
20260910_103523,WALK_1P_AWAY,0.031,3568030,36,WALK,AWAY,1,P01,LAB01,2,0,0,0,0,0
20260910_103523,WALK_1P_AWAY,0.032,3657071,37,WALK,AWAY,1,P01,LAB01,0,1,-254,816,-39,360
20260910_103523,WALK_1P_AWAY,0.032,3657071,37,WALK,AWAY,1,P01,LAB01,1,0,0,0,0,0
20260910_103523,WALK_1P_AWAY,0.032,3657071,37,WALK,AWAY,1,P01,LAB01,2,0,0,0,0,0
20260910_103523,WALK_1P_AWAY,0.033,3745968,38,WALK,AWAY,1,P01,LAB01,0,1,-250,807,-39,360
20260910_103523,WALK_1P_AWAY,0.033,3745968,38,WALK,AWAY,1,P01,LAB01,1,0,0,0,0,0
20260910_103523,WALK_1P_AWAY,0.033,3745968,38,WALK,AWAY,1,P01,LAB01,2,0,0,0,0,0
20260910_103523,WALK_1P_AWAY,0.035,3835060,39,WALK,AWAY,1,P01,LAB01,0,1,-245,797,-48,360
20260910_103523,WALK_1P_AWAY,0.035,3835060,39,WALK,AWAY,1,P01,LAB01,1,0,0,0,0,0
20260910_103523,WALK_1P_AWAY,0.035,3835060,39,WALK,AWAY,1,P01,LAB01,2,0,0,0,0,0
20260910_103523,WALK_1P_AWAY,0.036,3923835,40,WALK,AWAY,1,P01,LAB01,0,1,-238,784,-56,360
20260910_103523,WALK_1P_AWAY,0.036,3923835,40,WALK,AWAY,1,P01,LAB01,1,0,0,0,0,0
20260910_103523,WALK_1P_AWAY,0.036,3923835,40,WALK,AWAY,1,P01,LAB01,2,0,0,0,0,0
20260910_103523,WALK_1P_AWAY,0.037,4013030,41,WALK,AWAY,1,P01,LAB01,0,1,-222,770,-56,360
20260910_103523,WALK_1P_AWAY,0.037,4013030,41,WALK,AWAY,1,P01,LAB01,1,0,0,0,0,0
20260910_103523,WALK_1P_AWAY,0.037,4013030,41,WALK,AWAY,1,P01,LAB01,2,0,0,0,0,0
20260910_103523,WALK_1P_AWAY,0.037,4101736,42,WALK,AWAY,1,P01,LAB01,0,1,-211,751,-56,360
20260910_103523,WALK_1P_AWAY,0.037,4101736,42,WALK,AWAY,1,P01,LAB01,1,0,0,0,0,0
20260910_103523,WALK_1P_AWAY,0.037,4101736,42,WALK,AWAY,1,P01,LAB01,2,0,0,0,0,0
20260910_103523,WALK_1P_AWAY,0.038,4190938,43,WALK,AWAY,1,P01,LAB01,0,1,-205,724,-39,360
20260910_103523,WALK_1P_AWAY,0.038,4190938,43,WALK,AWAY,1,P01,LAB01,1,0,0,0,0,0
20260910_103523,WALK_1P_AWAY,0.038,4190938,43,WALK,AWAY,1,P01,LAB01,2,0,0,0,0,0
20260910_103523,WALK_1P_AWAY,0.039,4279986,44,WALK,AWAY,1,P01,LAB01,0,1,-186,684,-32,360
20260910_103523,WALK_1P_AWAY,0.039,4279986,44,WALK,AWAY,1,P01,LAB01,1,0,0,0,0,0
20260910_103523,WALK_1P_AWAY,0.039,4279986,44,WALK,AWAY,1,P01,LAB01,2,0,0,0,0,0
20260910_103523,WALK_1P_AWAY,0.040,4369081,45,WALK,AWAY,1,P01,LAB01,0,1,-167,646,-32,360
20260910_103523,WALK_1P_AWAY,0.040,4369081,45,WALK,AWAY,1,P01,LAB01,1,0,0,0,0,0
20260910_103523,WALK_1P_AWAY,0.040,4369081,45,WALK,AWAY,1,P01,LAB01,2,0,0,0,0,0
20260910_103523,WALK_1P_AWAY,0.042,4457829,46,WALK,AWAY,1,P01,LAB01,0,1,-157,629,-32,360
20260910_103523,WALK_1P_AWAY,0.042,4457829,46,WALK,AWAY,1,P01,LAB01,1,0,0,0,0,0
20260910_103523,WALK_1P_AWAY,0.042,4457829,46,WALK,AWAY,1,P01,LAB01,2,0,0,0,0,0
20260910_103523,WALK_1P_AWAY,0.043,4547175,47,WALK,AWAY,1,P01,LAB01,0,1,-149,613,-32,360
20260910_103523,WALK_1P_AWAY,0.043,4547175,47,WALK,AWAY,1,P01,LAB01,1,0,0,0,0,0
20260910_103523,WALK_1P_AWAY,0.043,4547175,47,WALK,AWAY,1,P01,LAB01,2,0,0,0,0,0
20260910_103523,WALK_1P_AWAY,0.043,4635856,48,WALK,AWAY,1,P01,LAB01,0,1,-141,599,-32,360
20260910_103523,WALK_1P_AWAY,0.043,4635856,48,WALK,AWAY,1,P01,LAB01,1,0,0,0,0,0
20260910_103523,WALK_1P_AWAY,0.043,4635856,48,WALK,AWAY,1,P01,LAB01,2,0,0,0,0,0
20260910_103523,WALK_1P_AWAY,0.044,4725137,49,WALK,AWAY,1,P01,LAB01,0,1,-135,586,-32,360
20260910_103523,WALK_1P_AWAY,0.044,4725137,49,WALK,AWAY,1,P01,LAB01,1,0,0,0,0,0
20260910_103523,WALK_1P_AWAY,0.044,4725137,49,WALK,AWAY,1,P01,LAB01,2,0,0,0,0,0
20260910_103523,WALK_1P_AWAY,0.045,4813628,50,WALK,AWAY,1,P01,LAB01,0,1,-136,559,-56,360
20260910_103523,WALK_1P_AWAY,0.045,4813628,50,WALK,AWAY,1,P01,LAB01,1,0,0,0,0,0
20260910_103523,WALK_1P_AWAY,0.045,4813628,50,WALK,AWAY,1,P01,LAB01,2,0,0,0,0,0
