session_id,scenario,pc_time_s,esp_time_us,frame_id,activity,direction,people_count,participants,environment,target_slot,valid,x_mm,y_mm,speed_cm_s,resolution_mm
20260910_111548,FAST_1P_APPROACH,0.006,1938922,18,FAST,APPROACH,1,P03,LAB01,0,1,1936,6088,16,360
20260910_111548,FAST_1P_APPROACH,0.006,1938922,18,FAST,APPROACH,1,P03,LAB01,1,0,0,0,0,0
20260910_111548,FAST_1P_APPROACH,0.006,1938922,18,FAST,APPROACH,1,P03,LAB01,2,0,0,0,0,0
20260910_111548,FAST_1P_APPROACH,0.007,2027781,19,FAST,APPROACH,1,P03,LAB01,0,1,1948,6082,16,360
20260910_111548,FAST_1P_APPROACH,0.007,2027781,19,FAST,APPROACH,1,P03,LAB01,1,0,0,0,0,0
20260910_111548,FAST_1P_APPROACH,0.007,2027781,19,FAST,APPROACH,1,P03,LAB01,2,0,0,0,0,0
20260910_111548,FAST_1P_APPROACH,0.009,2116891,20,FAST,APPROACH,1,P03,LAB01,0,1,1959,6075,16,360
20260910_111548,FAST_1P_APPROACH,0.009,2116891,20,FAST,APPROACH,1,P03,LAB01,1,0,0,0,0,0
20260910_111548,FAST_1P_APPROACH,0.009,2116891,20,FAST,APPROACH,1,P03,LAB01,2,0,0,0,0,0
20260910_111548,FAST_1P_APPROACH,0.012,2205622,21,FAST,APPROACH,1,P03,LAB01,0,1,1966,6073,8,360
20260910_111548,FAST_1P_APPROACH,0.012,2205622,21,FAST,APPROACH,1,P03,LAB01,1,0,0,0,0,0
20260910_111548,FAST_1P_APPROACH,0.012,2205622,21,FAST,APPROACH,1,P03,LAB01,2,0,0,0,0,0
20260910_111548,FAST_1P_APPROACH,0.017,2294917,22,FAST,APPROACH,1,P03,LAB01,0,1,1978,6070,8,360
20260910_111548,FAST_1P_APPROACH,0.017,2294917,22,FAST,APPROACH,1,P03,LAB01,1,0,0,0,0,0
20260910_111548,FAST_1P_APPROACH,0.017,2294917,22,FAST,APPROACH,1,P03,LAB01,2,0,0,0,0,0
20260910_111548,FAST_1P_APPROACH,0.022,2383867,23,FAST,APPROACH,1,P03,LAB01,0,1,1991,6067,8,360
20260910_111548,FAST_1P_APPROACH,0.022,2383867,23,FAST,APPROACH,1,P03,LAB01,1,0,0,0,0,0
20260910_111548,FAST_1P_APPROACH,0.022,2383867,23,FAST,APPROACH,1,P03,LAB01,2,0,0,0,0,0
20260910_111548,FAST_1P_APPROACH,0.025,2472659,24,FAST,APPROACH,1,P03,LAB01,0,1,2003,6064,8,360
20260910_111548,FAST_1P_APPROACH,0.025,2472659,24,FAST,APPROACH,1,P03,LAB01,1,0,0,0,0,0
20260910_111548,FAST_1P_APPROACH,0.025,2472659,24,FAST,APPROACH,1,P03,LAB01,2,0,0,0,0,0
20260910_111548,FAST_1P_APPROACH,0.031,2561586,25,FAST,APPROACH,1,P03,LAB01,0,1,2010,6061,-8,360
20260910_111548,FAST_1P_APPROACH,0.031,2561586,25,FAST,APPROACH,1,P03,LAB01,1,0,0,0,0,0
