session_id,scenario,pc_time_s,esp_time_us,frame_id,activity,direction,people_count,participants,environment,target_slot,valid,x_mm,y_mm,speed_cm_s,resolution_mm
20260910_112752,FAST_1P_AWAY,0.002,1864034,17,FAST,AWAY,1,P02,LAB01,0,1,3,361,8,360
20260910_112752,FAST_1P_AWAY,0.002,1864034,17,FAST,AWAY,1,P02,LAB01,1,0,0,0,0,0
20260910_112752,FAST_1P_AWAY,0.002,1864034,17,FAST,AWAY,1,P02,LAB01,2,0,0,0,0,0
20260910_112752,FAST_1P_AWAY,0.002,1952969,18,FAST,AWAY,1,P02,LAB01,0,1,13,367,8,360
20260910_112752,FAST_1P_AWAY,0.002,1952969,18,FAST,AWAY,1,P02,LAB01,1,0,0,0,0,0
20260910_112752,FAST_1P_AWAY,0.002,1952969,18,FAST,AWAY,1,P02,LAB01,2,0,0,0,0,0
20260910_112752,FAST_1P_AWAY,0.003,2042034,19,FAST,AWAY,1,P02,LAB01,0,1,24,375,8,360
20260910_112752,FAST_1P_AWAY,0.003,2042034,19,FAST,AWAY,1,P02,LAB01,1,0,0,0,0,0
20260910_112752,FAST_1P_AWAY,0.003,2042034,19,FAST,AWAY,1,P02,LAB01,2,0,0,0,0,0
20260910_112752,FAST_1P_AWAY,0.004,2130895,20,FAST,AWAY,1,P02,LAB01,0,1,32,390,0,360
20260910_112752,FAST_1P_AWAY,0.004,2130895,20,FAST,AWAY,1,P02,LAB01,1,0,0,0,0,0
20260910_112752,FAST_1P_AWAY,0.004,2130895,20,FAST,AWAY,1,P02,LAB01,2,0,0,0,0,0
20260910_112752,FAST_1P_AWAY,0.005,2220007,21,FAST,AWAY,1,P02,LAB01,0,1,37,427,8,360
20260910_112752,FAST_1P_AWAY,0.005,2220007,21,FAST,AWAY,1,P02,LAB01,1,0,0,0,0,0
20260910_112752,FAST_1P_AWAY,0.005,2220007,21,FAST,AWAY,1,P02,LAB01,2,0,0,0,0,0
20260910_112752,FAST_1P_AWAY,0.006,2308923,22,FAST,AWAY,1,P02,LAB01,0,1,33,490,-8,360
20260910_112752,FAST_1P_AWAY,0.006,2308923,22,FAST,AWAY,1,P02,LAB01,1,0,0,0,0,0
20260910_112752,FAST_1P_AWAY,0.006,2308923,22,FAST,AWAY,1,P02,LAB01,2,0,0,0,0,0
20260910_112752,FAST_1P_AWAY,0.006,2398120,23,FAST,AWAY,1,P02,LAB01,0,1,9,539,8,360
20260910_112752,FAST_1P_AWAY,0.006,2398120,23,FAST,AWAY,1,P02,LAB01,1,0,0,0,0,0
20260910_112752,FAST_1P_AWAY,0.006,2398120,23,FAST,AWAY,1,P02,LAB01,2,0,0,0,0,0
20260910_112752,FAST_1P_AWAY,0.007,2487016,24,FAST,AWAY,1,P02,LAB01,0,1,-63,556,0,360
20260910_112752,FAST_1P_AWAY,0.007,2487016,24,FAST,AWAY,1,P02,LAB01,1,0,0,0,0,0
20260910_112752,FAST_1P_AWAY,0.007,2487016,24,FAST,AWAY,1,P02,LAB01,2,0,0,0,0,0
20260910_112752,FAST_1P_AWAY,0.007,2576344,25,FAST,AWAY,1,P02,LAB01,0,1,-129,561,0,360
20260910_112752,FAST_1P_AWAY,0.007,2576344,25,FAST,AWAY,1,P02,LAB01,1,0,0,0,0,0
20260910_112752,FAST_1P_AWAY,0.007,2576344,25,FAST,AWAY,1,P02,LAB01,2,0,0,0,0,0
20260910_112752,FAST_1P_AWAY,0.008,2665034,26,FAST,AWAY,1,P02,LAB01,0,1,-49,578,0,360
20260910_112752,FAST_1P_AWAY,0.008,2665034,26,FAST,AWAY,1,P02,LAB01,1,0,0,0,0,0
20260910_112752,FAST_1P_AWAY,0.008,2665034,26,FAST,AWAY,1,P02,LAB01,2,0,0,0,0,0
20260910_112752,FAST_1P_AWAY,0.009,2754176,27,FAST,AWAY,1,P02,LAB01,0,1,-36,579,0,360
20260910_112752,FAST_1P_AWAY,0.009,2754176,27,FAST,AWAY,1,P02,LAB01,1,0,0,0,0,0
20260910_112752,FAST_1P_AWAY,0.009,2754176,27,FAST,AWAY,1,P02,LAB01,2,0,0,0,0,0
20260910_112752,FAST_1P_AWAY,0.009,2843007,28,FAST,AWAY,1,P02,LAB01,0,1,-20,578,0,360
