session_id,scenario,window_id,activity,direction,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,acc3_0,acc3_1,acc3_2,true_class,fp32_pred,int8_pred
20260910_100219,STILL_1P_NA,0,STILL,NAN,-3,-1,-3,-1,-8,-8,-7,-8,-5,-6,-2,-4,-8,-8,6,15013,-6810,-2460,0,0,0
20260910_100219,STILL_1P_NA,1,STILL,NAN,-4,-1,-4,-1,-7,-7,-7,-7,-4,-5,-2,-3,-7,-7,6,12332,-5107,-2335,0,0,0
20260910_100219,STILL_1P_NA,2,STILL,NAN,-5,-1,-5,-1,-7,-6,-7,-7,-5,-5,-3,-5,-6,-6,6,9737,-2714,-3793,0,0,0
20260910_100219,STILL_1P_NA,3,STILL,NAN,-5,-1,-5,-1,-7,-7,-7,-7,-5,-5,-3,-4,-7,-6,6,11187,-3768,-3459,0,0,0
20260910_100219,STILL_1P_NA,4,STILL,NAN,-3,-1,-3,-1,-8,-8,-7,-7,-4,-5,-3,-4,-8,-7,-8,16104,-9315,-1208,0,0,0
20260910_100219,STILL_1P_NA,5,STILL,NAN,-2,-2,-2,-2,-8,-8,-8,-8,-5,-6,-3,-5,-8,-7,5,14907,-6701,-2569,0,0,0
20260910_100219,STILL_1P_NA,6,STILL,NAN,-2,-2,-2,-2,-8,-8,-8,-8,-6,-6,-4,-5,-8,-7,5,15175,-6548,-3092,0,0,0
20260910_100219,STILL_1P_NA,7,STILL,NAN,-2,-1,-2,-1,-8,-8,-8,-8,-5,-5,-4,-5,-8,-8,0,17151,-8645,-2290,0,0,0
20260910_100219,STILL_1P_NA,8,STILL,NAN,-2,-1,-2,-1,-8,-8,-8,-8,-5,-5,-4,-5,-8,-8,-12,17464,-10464,-1225,0,0,0
20260910_100219,STILL_1P_NA,9,STILL,NAN,-3,-1,-3,-1,-8,-8,-8,-8,-5,-5,-3,-4,-8,-7,1,16360,-7984,-2324,0,0,0
20260910_100219,STILL_1P_NA,10,STILL,NAN,-3,-1,-3,-1,-8,-7,-8,-8,-4,-3,-3,-4,-7,-7,1,14639,-7340,-1852,0,0,0
20260910_100219,STILL_1P_NA,11,STILL,NAN,-3,-1,-3,-1,-8,-8,-8,-8,-5,-5,-3,-5,-8,-8,-13,17338,-10652,-921,0,0,0
20260910_100219,STILL_1P_NA,12,STILL,NAN,-3,-1,-3,-1,-8,-8,-8,-8,-5,-5,-4,-5,-8,-8,-12,17786,-10359,-1419,0,0,0
20260910_100219,STILL_1P_NA,13,STILL,NAN,-2,-1,-3,-1,-8,-8,-8,-8,-5,-5,-4,-5,-8,-8,-27,17326,-12462,551,0,0,0
20260910_100219,STILL_1P_NA,14,STILL,NAN,-3,-1,-3,-1,-8,-8,-8,-8,-5,-6,-4,-5,-8,-8,-25,17623,-12129,73,0,0,0
20260910_100219,STILL_1P_NA,15,STILL,NAN,-2,-1,-2,-1,-8,-8,-8,-8,-5,-5,-3,-5,-8,-8,-22,17206,-11789,-1,0,0,0
20260910_100219,STILL_1P_NA,16,STILL,NAN,-2,-1,-2,-1,-8,-8,-8,-8,-5,-5,-3,-5,-8,-7,5,16165,-7713,-2286,0,0,0
20260910_100219,STILL_1P_NA,17,STILL,NAN,-2,-1,-2,-1,-8,-8,-8,-8,-5,-5,-3,-5,-8,-8,-29,17658,-12623,354,0,0,0
20260910_100219,STILL_1P_NA,18,STILL,NAN,-4,-1,-4,-1,-7,-7,-7,-7,-5,-4,-3,-4,-7,-7,4,12755,-5403,-2416,0,0,0
